record_id,dog_name,purebred,akc,purebred_breed,okc,mixbred,mixbred_breed,acquisition_source,dog_age_acq_months,dog_age_acq_years,dog_age_today_months,dog_age_today_years,dog_sex,dog_spayed,dog_sex_month,dog_sex_year,dog_weight,prof_help,prof_type_3,prof_type_1,prof_type_2,prof_score,prof_discover,health_iss_1,health_iss_2,health_iss_3,health_iss_4,health_iss_5,health_iss_6,heath_oth,trainer_mult,trainer_count,trainer_cred,trainer_cred_type,trainer_cred_other,consultant_mult,consultant_count,consultant_cred,consultant_cred_type_1,consultant_cred_type_2,consultant_cred_type_3,consultant_cred_type_4,consultant_cred_type_5,consultant_cred_other,best_prof,best_prof_combo,training_methods_1,training_methods_2,training_methods_3,training_methods_4,equipment_1,equipment_2,equipment_3,equipment_4,equipment_5,equipment_9,equipment_6,equipment_7,equipment_10,equipment_11,equipment_8,desc_other_equip,med_rec,med_pursued,med_list_1,med_list_2,med_list_3,med_list_4,med_list_5,med_list_6,med_list_7,med_list_8,med_list_9,med_list_10,med_list_11,med_list_12,med_list_13,desc_other_med,med_combo_1,med_combo_2,med_combo_3,med_combo_4,med_combo_5,med_combo_6,med_combo_7,med_combo_8,med_combo_9,med_combo_10,med_combo_11,med_combo_12,med_combo_13,desc_other_combo,fluoxetine_dose,fluoxetine_freq,fluoxetine_nec,fluoxetine_span,fluoxetine_span_wk,fluoxetine_span_mn,fluoxetine_span_yr,sertraline_dose,sertraline_freq,sertraline_nec,sertraline_span,sertraline_span_wk,sertraline_span_mn,sertraline_span_yr,paroxetine_dose,paroxetine_freq,paroxetine_nec,paroxetine_span,paroxetine_span_wk,paroxetine_span_mn,paroxetine_span_yr,citalopram_dose,citalopram_freq,citalopram_nec,citalopram_span,citalopram_span_wk,citalopram_span_mn,citalopram_span_yr,escitalopram_dose,escitalopram_freq,escitalopram_nec,escitalopram_span,escitalopram_span_wk,escitalopram_span_mn,escitalopram_span_yr,clomipramine_dose,clomipramine_freq,clomipramine_nec,clomipramine_span,clomipramine_span_wk,clomipramine_span_mn,clomipramine_span_yr,trazadone_dose,trazadone_freq,trazadone_nec,trazadone_span,trazadone_span_wk,trazadone_span_mn,trazadone_span_yr,buspirone_dose,buspirone_freq,buspirone_nec,buspirone_span,buspirone_span_wk,buspirone_span_mn,buspirone_span_yr,valium_dose,valium_freq,valium_nec,valium_span,valium_span_wk,valium_span_mn,valium_span_yr,clonidine_dose,clonidine_freq,clonidine_nec,clonidine_span,clonidine_span_wk,clonidine_span_mn,clonidine_span_yr,acepromazine_dose,acepromazine_freq,acepromazine_nec,acepromazine_span,acepromazine_span_wk,acepromazine_span_mn,acepromazine_span_yr,diphenhydramine_dose,diphenhydramine_freq,diphenhydramine_nec,diphenhydramine_span,diphenhydramine_span_wk,diphenhydramine_span_mn,diphenhydramine_span_yr,other_drug_dose,other_drug_freq,other_drug_nec,other_drug_span,other_drug_span_wk,other_drug_span_mn,other_drug_span_yr,alt_treatment,alt_med_type_1,alt_med_type_2,alt_med_type_3,alt_med_type_4,alt_med_type_5,alt_med_type_6,alt_med_type_7,alt_med_type_8,alt_med_type_9,alt_med_type_10,alt_med_type_11,alt_med_type_12,alt_med_type_13,alt_med_type_15,alt_med_type_16,alt_med_type_17,alt_med_type_18,behavior_prog_rec,behavior_prog,behavior_tech_used_1,behavior_tech_used_2,behavior_tech_used_3,behavior_tech_used_4,behavior_tech_used_5,behavior_tech_used_6,behavior_tech_used_7,behavior_tech_used_8,behavior_tech_used_9,behavior_tech_used_10,behavior_tech_used_11,behavior_tech_used_12,behavior_tech_used_13,behavior_tech_used_14,behavior_tech_used_15,behavior_tech_used_16,behavior_tech_used_17,behavior_tech_used_18,behavior_tech_used_19,behavior_tech_other,behavior_tech_best_1,behavior_tech_best_2,behavior_tech_best_3,behavior_tech_best_4,behavior_tech_best_5,behavior_tech_best_6,behavior_tech_best_7,behavior_tech_best_8,behavior_tech_best_9,behavior_tech_best_10,behavior_tech_best_11,behavior_tech_best_12,behavior_tech_best_13,behavior_tech_best_14,behavior_tech_best_15,behavior_tech_best_16,behavior_tech_best_17,behavior_tech_best_18,behavior_tech_best_19,behavior_other_best,aggression_1,aggression_2,aggression_3,aggression_4,aggression_5,aggression_6,aggression_7,aggression_8,aggression_9,aggression_10,aggression_11,agg_time,final_word,owner_id
59,Nala,0,,,,1,Staffordshire Bull Terrier,4,,,,10,2,1,,,52,1,0,1,1,2,,0,0,0,0,0,0,,1,4,1,0,i don't remember but they did have specific titles,1,2,1,0,0,0,0,1,I do not remember specific titles,8,trainer,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,,,,,7,7,7,7,,,,,52,,53
64,Regan,0,,,,1,Cockapoo-cocker spaniel and poodle,4,,3,,10,2,1,,,18,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,7,,,,,,,2,,,,24,1,58
71,Rooney,1,1,144,,,,4,,1.5,,7,1,1,,1.5,29,1,0,1,0,1,,0,0,0,0,0,0,,1,3,1,2,,,,,0,0,0,0,0,,3,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,,,,,,5,7,,,,,,10,1,65
75,Matilda,0,,,,1,English Pointer/Aust. Cattle Dog,4,,1.5,,2.5,2,1,,1.5,51.4,1,0,0,1,1,,0,0,0,0,0,0,,,,,,,0,,1,1,0,0,0,0,,6,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,,,42,1,69
94,Gypsy,1,1,144,,,,5,,1,,9,2,1,,1,24,1,1,1,1,3,1,0,0,0,0,0,1,Generalized Anxiety Disorder,1,5,1,2,,1,3,1,0,0,1,1,0,,5,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,,10,1,0,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,3,,5,6,,,,,26,1,87
99,Deagan,1,0,,Large Munsterlander,,,5,2,,,5,1,1,11,,75,1,1,0,1,2,0,0,0,0,0,0,0,,,,,,,0,,1,0,0,0,0,1,"DVM and behavior consultant were the same person, she also has PhD",8,"consultant, vet",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,,35,1,0,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,7,,,,,,,,,,,6,,92
106,Jack,1,1,,,,,,2,,,7,1,1,5,,50,1,0,1,1,2,,0,0,0,0,0,0,,0,,1,1,,0,,1,1,0,0,0,0,,3,,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,,,,5,,,3,,,,,,12,1,98
107,Baloo,0,,,,0,,9,0.5,,,10,1,1,6,,55,1,1,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,,8,"credentialed trainer, consultant, vet",1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,"Calming cap! It is a life saver for public areas and vet visits, thunder shirt",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,3,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,Behavior adjustment training in specific,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,5,6,,,,3,,,,,Years,1,99
110,Olivia,0,,,,1,"Jack Russel Terrier, Dachsund mix",4,,11,,12.5,2,1,,,10,1,0,1,0,1,,0,0,0,0,0,0,,0,,1,1,,,,,0,0,0,0,0,,3,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,7,7,7,,,,,12-16,,102
111,Penny,0,,,,1,Flat coat retriever,4,,2,,,2,1,,,55,1,0,0,1,1,,0,0,0,0,0,0,,,,,,,0,,2,0,0,0,0,0,,1,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,5,,,4,,15 weeks,,103
112,Indie,0,,,,0,,4,,1,,6,2,1,,,25,1,1,1,0,2,0,0,0,0,0,0,0,,0,,1,0,KPA-CTP,,,,0,0,0,0,0,,3,,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,L-Theanine,20,1,0,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,10,1,1,,,,,,,,,,,,,,,,,,,100,1,0,3,,,3,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,,6,6,6,,4,4,6,,,,,8,1,104
113,Ruby,0,,,,0,,1,,,,2,2,1,,,47,1,0,1,0,1,,0,0,0,0,0,0,,0,,1,2,,,,,0,0,0,0,0,,3,,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,6,5,,,,,,,,,1 year,,105
116,Tallulah,1,1,3,,,,1,,3.5,,10,2,1,,3.5,60,1,1,1,1,3,0,0,0,0,0,0,0,,0,,1,2,,0,,1,0,0,0,0,0,,8,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,,,,4,4,6,6,,,,,A few weeks,1,108
